sample	genome	coverage	relative abundance	iRep	un-filtered iRep	raw iRep (no GC bias correction)	r^2	% windows	GC bias	GC r^2	day	treatment	bird	day_num
d78ther201	bin.842	5.109175008245545	0.5962308859646726	1.929273185137577	1.929273185137577	1.9552897929625215	0.9543520776555929	97.76	-0.1913469515664812	0.02420717598400979	78	ther	201	78
d35ther116	bin.842	5.593388760624833	1.201308686996165	1.8374789682091113	1.8374789682091113	1.9044854795270043	0.9653363513387602	97.88	-2.086013401485203	0.11934670434910065	35	ther	116	35
d35sub105	bin.842	5.952481313406265	0.633972775116523	1.927001786742207	1.927001786742207	1.9122884926229993	0.9682414156016438	99.13	0.0013191172713272578	8.430557088469072e-4	35	sub	105	35
d07ther053	bin.842	5.893287231125647	0.9277940019818286	2.071168393821395	2.071168393821395	2.0684556195038852	0.9681473783047749	98.66999999999999	-5.354992764047486e-4	4.2866495561921786e-4	07	ther	053	7
d07ther057	bin.842	5.2188531935100615	0.5676309812162227	1.8141383525124213	1.8141383525124213	1.8062874194749772	0.9773355614248835	97.76	-1.6107507221192246e-5	4.878357271043133e-5	07	ther	057	7
d35ctrl091	bin.842	10.542957309925255	1.673317934422704	1.6170370886633225	1.6170370886633225	1.620414928731368	0.95976521694107	99.03	-0.14752390926415332	0.014904254887563861	35	ctrl	091	35
d35ther114	bin.842	7.416929100222134	0.4234749916989224	1.8596411300924989	1.8596411300924989	2.074774779996709	0.9661755268294576	97.88	-15.987310772090801	0.3454273378865581	35	ther	114	35
d78sub197	bin.925	17.440506509316737	2.2852520579434366	1.3150649748862806	1.3150649748862806	1.3478862792035227	0.9827901078582463	100	-4.452611305396822	0.1378539936501767	78	sub	197	78
d78ther210	bin.925	25.479547755052483	3.5037550517120284	1.284312918554624	1.284312918554624	1.2978762159042354	0.9915972162112165	100	-2.0047245240523353	0.07086696221379074	78	ther	210	78
d78sub193	bin.925	18.347123433644956	1.2570326390784639	1.3054514864438873	1.3054514864438873	1.324077796936924	0.9880027241781052	100	-2.585676691190842	0.09604398508316282	78	sub	193	78
d78sub196	bin.925	8.492006368526669	0.6242461461747427	1.4309014562468245	1.4309014562468245	1.4617039057074384	0.9854842550981066	100	-0.2199435423424653	0.022720605581358133	78	sub	196	78
