#Reads:	7178582
#Bases:	10623825941
#Max:	67547
#Min:	35
#Avg:	1479.9
#Median:	1290
#Mode:	1170
#Std_Dev:	1006.4
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
2700	5917	0.082%	538286	7.499%	16002784	0.151%	2085264655	19.628%
2710	5960	0.083%	532369	7.416%	16178731	0.152%	2069261871	19.478%
2720	5659	0.079%	526409	7.333%	15418646	0.145%	2053083140	19.325%
2730	5721	0.080%	520750	7.254%	15643996	0.147%	2037664494	19.180%
2740	5636	0.079%	515029	7.175%	15467895	0.146%	2022020498	19.033%
2750	5490	0.076%	509393	7.096%	15121698	0.142%	2006552603	18.887%
2760	5467	0.076%	503903	7.020%	15113809	0.142%	1991430905	18.745%
2770	5503	0.077%	498436	6.943%	15267802	0.144%	1976317096	18.603%
2780	5350	0.075%	492933	6.867%	14896798	0.140%	1961049294	18.459%
2790	5268	0.073%	487583	6.792%	14721134	0.139%	1946152496	18.319%
2800	5303	0.074%	482315	6.719%	14872685	0.140%	1931431362	18.180%
2810	5124	0.071%	477012	6.645%	14421448	0.136%	1916558677	18.040%
2820	5099	0.071%	471888	6.574%	14401857	0.136%	1902137229	17.904%
2830	4936	0.069%	466789	6.503%	13990941	0.132%	1887735372	17.769%
2840	5002	0.070%	461853	6.434%	14227915	0.134%	1873744431	17.637%
2850	5004	0.070%	456851	6.364%	14283692	0.134%	1859516516	17.503%
2860	4827	0.067%	451847	6.294%	13826966	0.130%	1845232824	17.369%
2870	4744	0.066%	447020	6.227%	13636674	0.128%	1831405858	17.239%
2880	4529	0.063%	442276	6.161%	13063713	0.123%	1817769184	17.110%
2890	4488	0.063%	437747	6.098%	12990417	0.122%	1804705471	16.987%
2900	4535	0.063%	433259	6.035%	13171699	0.124%	1791715054	16.865%
2910	4567	0.064%	428724	5.972%	13310497	0.125%	1778543355	16.741%
2920	4436	0.062%	424157	5.909%	12972708	0.122%	1765232858	16.616%
2930	4461	0.062%	419721	5.847%	13091132	0.123%	1752260150	16.494%
2940	4403	0.061%	415260	5.785%	12964511	0.122%	1739169018	16.370%
2950	4417	0.062%	410857	5.723%	13049941	0.123%	1726204507	16.248%
2960	4233	0.059%	406440	5.662%	12548308	0.118%	1713154566	16.126%
2970	4114	0.057%	402207	5.603%	12237323	0.115%	1700606258	16.007%
2980	4103	0.057%	398093	5.546%	12245145	0.115%	1688368935	15.892%
2990	4215	0.059%	393990	5.488%	12621623	0.119%	1676123790	15.777%
3000	4163	0.058%	389775	5.430%	12507661	0.118%	1663502167	15.658%
3010	4001	0.056%	385612	5.372%	12060875	0.114%	1650994506	15.540%
3020	3946	0.055%	381611	5.316%	11934829	0.112%	1638933631	15.427%
3030	3888	0.054%	377665	5.261%	11798341	0.111%	1626998802	15.315%
3040	3856	0.054%	373777	5.207%	11739821	0.111%	1615200461	15.204%
3050	3868	0.054%	369921	5.153%	11814767	0.111%	1603460640	15.093%
3060	3727	0.052%	366053	5.099%	11421599	0.108%	1591645873	14.982%
3070	3736	0.052%	362326	5.047%	11486064	0.108%	1580224274	14.874%
3080	3670	0.051%	358590	4.995%	11319963	0.107%	1568738210	14.766%
3090	3554	0.050%	354920	4.944%	10997778	0.104%	1557418247	14.660%
3100	3495	0.049%	351366	4.895%	10850053	0.102%	1546420469	14.556%
3110	3540	0.049%	347871	4.846%	11025293	0.104%	1535570416	14.454%
3120	3513	0.049%	344331	4.797%	10976562	0.103%	1524545123	14.350%
3130	3521	0.049%	340818	4.748%	11036442	0.104%	1513568561	14.247%
3140	3382	0.047%	337297	4.699%	10634759	0.100%	1502532119	14.143%
